"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked","impressions","campaigns"
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",,,1,"Mar 7, 2023",1,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",,,1,"Mar 2, 2023",1,3,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 keywords researched a total of 6 times by 2 anonymous users","smartsheet, hyland",,,2,"Mar 1, 2023",2,6,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",,,1,"Feb 28, 2023",1,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"Feb 27, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",,,1,"Feb 26, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",,,,2,1
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",,,,1,1
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",,,,4,1
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",,,1,"Feb 21, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",,,,3,1
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 keywords researched a total of 2 times by 2 anonymous users","workflow automation, content delivery network",,,2,"Feb 18, 2023",2,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",,,,3,1
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Feb 17, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",,,,3,1
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",,,1,"Feb 16, 2023",1,2,,,
